Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
~Intial version based on Kona and e-Niro EV
~Source: GitHub 18 Aug 2019
~https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Hyundai%20Kona%20EV%20%26%20Kia%20Niro%20EV
~
~Zuinige Rijder
~20210907 V1 Adapted for IONIQ 5 72 kWh AWD
~Added Cell Voltage 092 till 184
~Added 000_Battery Module 05 Temperature and 000_Battery Module 06 Temperature
~Changed some calculations to use 72 kWh instead of 64 kWh and use the Torque for the IONIQ 5 AWD 72 kWh
~Added experimental Odometer
~Added experimental Tires information
~
~20210908 V2 Fixes and new features
~Fixed tire pressures
~Fixed Odometer
~Removed Battery Module 06 Temperature
~Shortened Short names of several formula's
~Fixed CALC Average Battery Module Temperature
~Fixed CALC Average Cell Voltage
~Added estimated charging time from current SOC to 80% for 2.3/3.7/7.4/11/50/100/150/175/350kWh chargers using evdatabase 10% to 80% estimations.
~
~20210910 V3 All known battery temperatures
~Added 16 battery pack temperatures
~Removed inlet temperature
~Removed heater 2 temperature
~Shortened names even more, do not put e.g. T in shortname when the symbol is C, Same for V and A.
~Fixed Indoor and Outdoor to properly show Celcius
~
~20210914 V4 Added vehicle speed and fixes
~Added 001_Real Vehicle Speed
~Fixed Max Power and Max Regen (253 kW)
~
~20210919 V5 Fixed double cells, now 180 cells according spec (thanks to SoulEVSpy developer)
~
~20210927 V6 Removed PIDs with wrong Aux battery values (thanks to EV Watchdog developer)
~Removed 000_Auxillary Battery SOC,Aux SOC,2102,X,0,100,%,7E2
~Removed 000_Auxillary Battery Current,Aux,2102,(SIGNED(W)*256+V)/1000,-100,100,A,7E2
~Removed 000_IONIQ5_Auxillary Battery Voltage,Aux,2102,(SIGNED(U)*256+T)/1000,11,14.6,V,7E2
~Fixed Shortname numbering Cell voltages
~
~20211027 V7 Adapted some Min/Max values, including ABRP (thanks to @HTWUSER for spotting)
~
~20240130 Add 002_Odometer (miles) only valid when vehicle display units are set to miles

000_Cell Voltage 001,C001,0x220102,e/50,2.70,4.30,V,7E4
000_Cell Voltage 002,C002,0x220102,f/50,2.70,4.30,V,7E4
000_Cell Voltage 003,C003,0x220102,g/50,2.70,4.30,V,7E4
000_Cell Voltage 004,C004,0x220102,h/50,2.70,4.30,V,7E4
000_Cell Voltage 005,C005,0x220102,i/50,2.70,4.30,V,7E4
000_Cell Voltage 006,C006,0x220102,j/50,2.70,4.30,V,7E4
000_Cell Voltage 007,C007,0x220102,k/50,2.70,4.30,V,7E4
000_Cell Voltage 008,C008,0x220102,l/50,2.70,4.30,V,7E4
000_Cell Voltage 009,C009,0x220102,m/50,2.70,4.30,V,7E4
000_Cell Voltage 010,C010,0x220102,n/50,2.70,4.30,V,7E4
000_Cell Voltage 011,C011,0x220102,o/50,2.70,4.30,V,7E4
000_Cell Voltage 012,C012,0x220102,p/50,2.70,4.30,V,7E4
000_Cell Voltage 013,C013,0x220102,q/50,2.70,4.30,V,7E4
000_Cell Voltage 014,C014,0x220102,r/50,2.70,4.30,V,7E4
000_Cell Voltage 015,C015,0x220102,s/50,2.70,4.30,V,7E4
000_Cell Voltage 016,C016,0x220102,t/50,2.70,4.30,V,7E4
000_Cell Voltage 017,C017,0x220102,u/50,2.70,4.30,V,7E4
000_Cell Voltage 018,C018,0x220102,v/50,2.70,4.30,V,7E4
000_Cell Voltage 019,C019,0x220102,w/50,2.70,4.30,V,7E4
000_Cell Voltage 020,C020,0x220102,x/50,2.70,4.30,V,7E4
000_Cell Voltage 021,C021,0x220102,y/50,2.70,4.30,V,7E4
000_Cell Voltage 022,C022,0x220102,z/50,2.70,4.30,V,7E4
000_Cell Voltage 023,C023,0x220102,aa/50,2.70,4.30,V,7E4
000_Cell Voltage 024,C024,0x220102,ab/50,2.70,4.30,V,7E4
000_Cell Voltage 025,C025,0x220102,ac/50,2.70,4.30,V,7E4
000_Cell Voltage 026,C026,0x220102,ad/50,2.70,4.30,V,7E4
000_Cell Voltage 027,C027,0x220102,ae/50,2.70,4.30,V,7E4
000_Cell Voltage 028,C028,0x220102,af/50,2.70,4.30,V,7E4
000_Cell Voltage 029,C029,0x220102,ag/50,2.70,4.30,V,7E4
000_Cell Voltage 030,C030,0x220102,ah/50,2.70,4.30,V,7E4
000_Cell Voltage 031,C031,0x220102,ai/50,2.70,4.30,V,7E4
000_Cell Voltage 032,C032,0x220102,aj/50,2.70,4.30,V,7E4
000_Cell Voltage 033,C033,0x220103,e/50,2.70,4.30,V,7E4
000_Cell Voltage 034,C034,0x220103,f/50,2.70,4.30,V,7E4
000_Cell Voltage 035,C035,0x220103,g/50,2.70,4.30,V,7E4
000_Cell Voltage 036,C036,0x220103,h/50,2.70,4.30,V,7E4
000_Cell Voltage 037,C037,0x220103,i/50,2.70,4.30,V,7E4
000_Cell Voltage 038,C038,0x220103,j/50,2.70,4.30,V,7E4
000_Cell Voltage 039,C039,0x220103,k/50,2.70,4.30,V,7E4
000_Cell Voltage 040,C040,0x220103,l/50,2.70,4.30,V,7E4
000_Cell Voltage 041,C041,0x220103,m/50,2.70,4.30,V,7E4
000_Cell Voltage 042,C042,0x220103,n/50,2.70,4.30,V,7E4
000_Cell Voltage 043,C043,0x220103,o/50,2.70,4.30,V,7E4
000_Cell Voltage 044,C044,0x220103,p/50,2.70,4.30,V,7E4
000_Cell Voltage 045,C045,0x220103,q/50,2.70,4.30,V,7E4
000_Cell Voltage 046,C046,0x220103,r/50,2.70,4.30,V,7E4
000_Cell Voltage 047,C047,0x220103,s/50,2.70,4.30,V,7E4
000_Cell Voltage 048,C048,0x220103,t/50,2.70,4.30,V,7E4
000_Cell Voltage 049,C049,0x220103,u/50,2.70,4.30,V,7E4
000_Cell Voltage 050,C050,0x220103,v/50,2.70,4.30,V,7E4
000_Cell Voltage 051,C051,0x220103,w/50,2.70,4.30,V,7E4
000_Cell Voltage 052,C052,0x220103,x/50,2.70,4.30,V,7E4
000_Cell Voltage 053,C053,0x220103,y/50,2.70,4.30,V,7E4
000_Cell Voltage 054,C054,0x220103,z/50,2.70,4.30,V,7E4
000_Cell Voltage 055,C055,0x220103,aa/50,2.70,4.30,V,7E4
000_Cell Voltage 056,C056,0x220103,ab/50,2.70,4.30,V,7E4
000_Cell Voltage 057,C057,0x220103,ac/50,2.70,4.30,V,7E4
000_Cell Voltage 058,C058,0x220103,ad/50,2.70,4.30,V,7E4
000_Cell Voltage 059,C059,0x220103,ae/50,2.70,4.30,V,7E4
000_Cell Voltage 060,C060,0x220103,af/50,2.70,4.30,V,7E4
000_Cell Voltage 061,C061,0x220103,ag/50,2.70,4.30,V,7E4
000_Cell Voltage 062,C062,0x220103,ah/50,2.70,4.30,V,7E4
000_Cell Voltage 063,C063,0x220103,ai/50,2.70,4.30,V,7E4
000_Cell Voltage 064,C064,0x220103,aj/50,2.70,4.30,V,7E4
000_Cell Voltage 065,C065,0x220104,e/50,2.70,4.30,V,7E4
000_Cell Voltage 066,C066,0x220104,f/50,2.70,4.30,V,7E4
